Learning_Rate, Max_Iterations, Tolerance, Alpha, MSE, R2
constant, 100, 0.0001, 0.0001, 2.801765417994769, 0.2614037308212157
constant, 100, 0.001, 0.0001, 2.803710708276893, 0.26088508543239286
constant, 100, 0.01, 0.0001, 2.8210639792694794, 0.25632514531037576
constant, 500, 0.0001, 0.0001, 2.801765417994769, 0.2614037308212157
constant, 500, 0.001, 0.0001, 2.803710708276893, 0.26088508543239286
constant, 500, 0.01, 0.0001, 2.8210639792694794, 0.25632514531037576
constant, 1000, 0.0001, 0.0001, 2.801765417994769, 0.2614037308212157
constant, 1000, 0.001, 0.0001, 2.803710708276893, 0.26088508543239286
constant, 1000, 0.01, 0.0001, 2.8210639792694794, 0.25632514531037576
optimal, 100, 0.0001, 0.0001, 6.906899912010204e+22, -1.84421406430462e+22
optimal, 100, 0.001, 0.0001, 6.906899912010204e+22, -1.84421406430462e+22
optimal, 100, 0.01, 0.0001, 6.906899912010204e+22, -1.84421406430462e+22
optimal, 500, 0.0001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 500, 0.001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 500, 0.01, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 1000, 0.0001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 1000, 0.001, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
optimal, 1000, 0.01, 0.0001, 1.548760884391932e+23, -4.070932381487488e+22
invscaling, 100, 0.0001, 0.0001, 4.353343730668959, -0.14792368373680684
invscaling, 100, 0.001, 0.0001, 4.353343730668959, -0.14792368373680684
invscaling, 100, 0.01, 0.0001, 4.353343730668959, -0.14792368373680684
invscaling, 500, 0.0001, 0.0001, 2.824597312624299, 0.2554047755087194
invscaling, 500, 0.001, 0.0001, 2.985711765575609, 0.21301464367404196
invscaling, 500, 0.01, 0.0001, 4.171707815952675, -0.09990759666976792
invscaling, 1000, 0.0001, 0.0001, 2.8231720253649164, 0.2557824020819474
invscaling, 1000, 0.001, 0.0001, 2.985711765575609, 0.21301464367404196
invscaling, 1000, 0.01, 0.0001, 4.171707815952675, -0.09990759666976792
adaptive, 100, 0.0001, 0.0001, 2.801625350365626, 0.261443313749703
adaptive, 100, 0.001, 0.0001, 2.802996450970577, 0.26107246948518437
adaptive, 100, 0.01, 0.0001, 2.815763820581143, 0.2577176886428691
adaptive, 500, 0.0001, 0.0001, 2.801625350365626, 0.261443313749703
adaptive, 500, 0.001, 0.0001, 2.802996450970577, 0.26107246948518437
adaptive, 500, 0.01, 0.0001, 2.815763820581143, 0.2577176886428691
adaptive, 1000, 0.0001, 0.0001, 2.801625350365626, 0.261443313749703
adaptive, 1000, 0.001, 0.0001, 2.802996450970577, 0.26107246948518437
adaptive, 1000, 0.01, 0.0001, 2.815763820581143, 0.2577176886428691
constant, 100, 0.0001, 0.0001, 2.80123537559063, 0.2616272384644654
constant, 100, 0.001, 0.0001, 2.802707850376919, 0.2612560226231578
constant, 100, 0.01, 0.0001, 2.798247735759734, 0.26236508521501145
constant, 500, 0.0001, 0.0001, 2.80123537559063, 0.2616272384644654
constant, 500, 0.001, 0.0001, 2.802707850376919, 0.2612560226231578
